NAME,CORRECTED NAME,ALPHABETIZED NAME,,
Pier Simone Agostini ,Pietro Simone Agostini     ,"Agostini, Pietro Simone",,
Pamphile-Léopold-François Aimon ,Léopold Aimon     ,"Aimon, Léopold",,
G. Albergoni ,Guazzo Albergoni    ,"Albergoni, Guazzo",,
Geoffrey Alvirez ,Geoffrey Alvarez     ,"Alvarez, Geoffrey",,
Joseph Jacques Augustin Ancessy,Joseph Ancessy,"Ancessy, Joseph",,
Tibor Andrasovan,Tibor Andrašovan,"Andrašovan, Tibor",,
Eugène Jean Baptiste Anthiome,Eugène Anthiome,"Anthiome, Eugène",,
Prudent Louis Aubéry du Boulley ,Prudent-Louis Aubéry Du Boulley     ,"Aubéry Du Boulley, Prudent-Louis",,
Avelino de Aguirre Lizaola ,Lizaola Avelino de Aguirre      ,"Avelino de Aguirre, Lizaola",,
Pietro Avondano ,Pedro António Avondano     ,"Avondano, Pedro António",,
Giuseppe d’Avossa ,Giuseppe Avossa     ,"Avossa, Giuseppe",,
Grazyna Bacewicz,Grażyna Bacewicz,"Bacewicz, Grażyna",,
Isidor Bajic,Isidor Bajić,"Bajić, Isidor",,
Claude Ballif ,Claude Baliff    ,"Baliff, Claude",,
György Banffy,György Bánffy,"Bánffy, György",,
Kresimir Baranovic,Krešimir Baranović,"Baranović, Krešimir",,
Giovanni Battistelli ,Giorgio Battistelli,"Battistelli, Giorgio ",,
Louis Joseph Amédée de Beauplan,Amédée de Beauplan,"Beauplan, Amédée de ",,
Samuel W. Beazley,Samuel William Beazley,"Beazley, Samuel William ",,
Miro Belamaric,Miro Belamarić,"Belamarić, Miro",,
__ Bellefleur,Maurice Bellefleur     ,"Bellefleur, Maurice",,
Ferdinand L. Bénech,Ferdinand Louis Bénech,"Bénech, Ferdinand Louis ",,
Juraj Benes,Juraj Beneš,"Beneš, Juraj",,
Jirí Berkovec,Jiří Berkovec,"Berkovec, Jiří",,
Henri Montan Berton ,Henri-Montan Berton     ,"Berton, Henri-Montan",,
Stanislav Binicki,Stanislav Binički,"Binički, Stanislav",,
Zdenek Blazek,Zdeněk Blažek,"Blažek, Zdeněk",,
Edward Boguslawski,Edward Bogusławski,"Bogusławski, Edward",,
