NAME,CORRECTED NAME,ALPHABETIZED NAME,,
G. R. Abate ,Giuseppe Raffaele Abate     ,"Abate, Giuseppe Raffaele",,
Wladyslaw Ludwik Anczyc,Władysław Ludwik Anczyc,"Anczyc, Władysław Ludwik ",,
Danko Andelinovic,Danko Anđelinović,"Anđelinović, Danko",,
Tibor Andrasovan,Tibor Andrašovan,"Andrašovan, Tibor",,
V. Arabia ,Vincenzo Arabia     ,"Arabia, Vincenzo",,
Ludek Archleb,Luděk Archleb,"Archleb, Luděk",,
Antoine-René de Voyer d'Argenson de Paulmy ,Antoine-René de Voyer Argenson      ,"Argenson, Antoine-René de Voyer",,
Ludvík Askenázy,Ludvík Aškenazy,"Aškenazy, Ludvík",,
Anton Askerc,Anton Aškerc,"Aškerc, Anton",,
Charles-Joseph Loeuillard d'Avrigny ,Charles-Joseph Loeillard d'Avrigny     ,"Avrigny, Charles-Joseph Loeillard d'",,
Elisa Bach ,Elysée Bach     ,"Bach, Elysée",,
Hugo Badalic,Hugo Badalić,"Badalić, Hugo",,
Jirí Balda,Jiří Balda,"Balda, Jiří",,
Frantisek Balej,František Balej,"Balej, František",,
Michel Nicolas Ballison de Rougemont ,Michel-Nicolas Balisson de Rougemont      ,"Balisson de Rougemont, Michel-Nicolas",,
Stanislaw Baracz,Stanisław Baracz,"Baracz, Stanisław",,
Jules-Amédée Barbey d'Aurevilly ,Jules Barbey d'Aurevilly     ,"Barbey d'Aurevilly, Jules",,
Victor Bârladeanu,Victor Bârlădeanu,"Bârlădeanu, Victor",,
Fedora Bartosová,Fedora Bartošová,"Bartošová, Fedora",,
Niko Bartulovic,Niko Bartulović,"Bartulović, Niko",,
Pierre-François-Godard de Beauchamps ,Pierre-François Godard de Beauchamps     ,"Beauchamps, Pierre-François Godard de",,
__ Baunier ,A.-L. Beaunier     ,"Beaunier, A.-L. ",,
Kamil Bednár,Kamil Bednář,"Bednář, Kamil",,
Milan Begovic,Milan Begović,"Begović, Milan",,
[__ Francini] Bel Amc,[Anacleto Francini] Bel Amì,"Bel Amì, [Anacleto Francini] ",,
Bedrich Belohlávek,Bedřich Bělohlávek,"Bělohlávek, Bedřich",,
Bohuslav Benes,Bohuslav Beneš,"Beneš, Bohuslav",,
Juraj Benes,Juraj Beneš,"Beneš, Juraj",,
Karel Josef Benes,Karel Josef Beneš,"Beneš, Karel Josef ",,
Bedrich Benes-Buchlovan,Bedřich Beneš-Buchlovan,"Beneš-Buchlovan, Bedřich",,
Julije Benesic,Julije Benešić,"Benešić, Julije",,
Václav Benes-Sumavský,Václav Beneš-Šumavský,"Beneš-Šumavský, Václav",,
Chevalier Person de Bérainville ,Person de Bérainville     ,"Bérainville, Person de",,
Jirí Berkovec,Jiří Berkovec,"Berkovec, Jiří",,
Louis-Auguste Bertin d'Antilly ,Auguste-Louis Bertin d'Antilly     ,"Bertin d'Antilly, Auguste-Louis",,
Hans von Beskow,Bernhard von Beskow,"Beskow, Bernhard von ",,
Eva Bezdeková,Eva Bezděková,"Bezděková, Eva",,
Georges-François Marechal de Bièvre ,François-Georges Maréchal Bièvre     ,"Bièvre, François-Georges Maréchal",,
Louis Edmé Billardon de Sauvigny ,Edme-Louis Billardon de Sauvigny     ,"Billardon de Sauvigny, Edme-Louis",,
Johann Friedrich von Binder von Kriegelstein ,Johann Friedrich Binder von Kriegelstein     ,"Binder von Kriegelstein, Johann Friedrich",,
C. Bisiak,C. Bisiach,"Bisiach, C.",,
Rudolfs Blaumanis,Rūdolfs Blaumanis,"Blaumanis, Rūdolfs",,
P. Bogaerts ,Stefan Bogaerts   ,"Bogaerts, Stefan",,
Edward Boguslawski,Edward Bogusławski,"Bogusławski, Edward",,
Stanislaw Kostka Boguslawski,Stanisław Kostka Bogusławski,"Bogusławski, Stanisław Kostka ",,
Wojciech Boguslawski,Wojciech Bogusławski,"Bogusławski, Wojciech",,
Jindrich Böhm,Jindřich Böhm,"Böhm, Jindřich",,
Friedrich J. Bohn ,Friedrich F. Bohn     ,"Bohn, Friedrich F.",,
D. Boieru-Hodaceanu,Dumitru Boieru-Hodaceanu,"Boieru-Hodaceanu, Dumitru",,
Jean-Bernard-Eugène Cantiran de Boirie ,Eugène Cantiran de Boirie     ,"Boirie, Eugène Cantiran de",,
Milutin Bojic,Milutin Bojić,"Bojić, Milutin",,
Gustavo Bondi,Gustav Bondi,"Bondi, Gustav",,
Jaromir Borecký,Jaromír Borecký,"Borecký, Jaromír",,
Pio del Borgo ,Pio dal Borgo     ,"Borgo, Pio dal",,
__ Bosch ,G. du Bosch    ,"Bosch, G. du",,
Darijan Bozic,Darijan Božič,"Božič, Darijan",,
Mirko Bozic,Mirko Božić,"Božić, Mirko",,
Matija Bravnicar,Matija Bravničar,"Bravničar, Matija",,
__ Brévaire ,René Bréviaire     ,"Bréviaire, René",,
J. C. Brunner ,Julius C. Brunner     ,"Brunner, Julius C.",,
Dragomir Brzák,Dragomir Brzak,"Brzak, Dragomir",,
Emil Frantisek Burian,Emil František Burian,"Burian, Emil František ",,
Jean François Cailhava d'Estandoux ,Jean-François Cailhava de L’Estandoux     ,"Cailhava de L’Estandoux, Jean-François",,
Gaston Arman de Caillavet ,Gaston-Arman de Caillavet     ,"Caillavet, Gaston-Arman de",,
Josef Capek,Josef Čapek,"Čapek, Josef",,
Karel Capek,Karel Čapek,"Čapek, Karel",,
Karel & Josef Capek,Karel & Josef Čapek,"Čapek, Karel & Josef ",,
__ Andressi,Federico Carbonetti,"Carbonetti, Federico",,
Bogdan Caus,[Arșag Bogosian] Bogdan Căuș,"Căuș, Bogdan [Arșag Bogosian]",,
Svatopluk Cech,Svatopluk Čech,"Čech, Svatopluk",,
[G. Delafontaine] Gédhé ,[Georges Delafontaine] Céhem-Gédhé     ,"Céhem-Gédhé, [Georges Delafontaine]",,
Ludvík Celanský,Ludvík Čelanský,"Čelanský, Ludvík",,
L. Cernol ,Louis Cernol     ,"Cernol, Louis",,
Marie Cervinková-Riegrová,Marie Červinková-Riegrová,"Červinková-Riegrová, Marie",,
